	wl	pwr	pwrvar
0	750.0	0.06998832992933414	8.187263068799558e-08
1	748.0	0.10640768963715126	3.3106058771498714e-07
2	746.0	0.11856041140272282	0.00395499332993821
3	750.0	0.07313419313266359	1.2637678806370584e-07
4	748.0	0.10865493093071313	5.459033942724211e-07
5	746.0	0.15638713190952938	1.0396912661867238e-06
6	744.0	0.20932993392149607	1.6084977778893812e-06
7	742.0	0.21827460719006403	1.8888106324860833e-06
8	740.0	0.24485683391491572	1.5955342969273566e-06
9	738.0	0.2508841648697853	1.7195775338193129e-06
10	736.0	0.25301545036250145	2.3847679675997493e-06
11	734.0	0.2649527384388831	2.1620293692723316e-06
12	732.0	0.286640735467275	1.9912949300109834e-06
13	730.0	0.29171506954090937	2.8802594178578333e-06
14	728.0	0.27965268903765184	1.6273697468045992e-06
15	726.0	0.25363406964710783	1.7432942235623755e-06
16	724.0	0.2442658980344904	1.875911826212936e-06
17	722.0	0.23910783380270004	1.1119377402590834e-06
18	720.0	0.2434954292007855	1.2097747207374235e-06
19	718.0	0.2671996211183482	1.7367332128821734e-06
20	716.0	0.2812201996644338	2.0148985143424943e-06
21	714.0	0.3185927186693464	1.2671897887740726e-06
22	712.0	0.33352041347273464	2.756526047082542e-06
23	710.0	0.3230410707848413	2.9325667746360024e-06
24	708.0	0.31020973523457845	2.2239642343259276e-06
25	706.0	0.2879213573677199	1.6189332491313182e-06
26	704.0	0.2688373810258405	1.484943515486381e-06
27	702.0	0.2697427920226393	1.3966476356162813e-06
28	700.0	0.2766444806394906	3.3197154086526276e-06
29	698.0	0.28306055400106644	2.8224373821041894e-06
30	696.0	0.29527393196310314	5.992772808085115e-06
31	694.0	0.3037191752729745	5.075242406109632e-06
32	692.0	0.33247692934397993	2.1140212739664197e-06
33	690.0	0.3659846217467867	3.0871968251896313e-06
34	688.0	0.3829260010804449	3.7378794242343708e-06
35	686.0	0.3851754195415057	2.497979682397063e-06
36	684.0	0.3908057341972987	2.4269295236391106e-06
37	682.0	0.3772658000389735	2.5068273642671182e-06
38	680.0	0.3496028965917127	1.9208949151559354e-06
39	678.0	0.3458246022462845	1.5897360501989273e-06
40	676.0	0.34688292329127973	1.9410458230288474e-06
41	674.0	0.3513671318689982	1.923386121881599e-06
42	672.0	0.3581522011756897	8.531323395800427e-07
43	670.0	0.3584582691009228	1.5213679483437744e-06
44	668.0	0.3589586543625799	1.7536256227460037e-06
45	666.0	0.3576023763623731	1.8654167264922188e-06
46	664.0	0.3600825163824805	1.2291674810613238e-06
47	662.0	0.35713433027267455	1.4232560385707416e-06
48	660.0	0.3543179302380003	7.161613856637419e-07
49	658.0	0.3590612517935889	1.0850529533417004e-06
50	656.0	0.3615088616979533	1.305169837807642e-06
51	654.0	0.36945756574471794	1.5953126011730093e-06
52	652.0	0.3879371345043182	1.5388125835732088e-06
53	650.0	0.3976857949947489	1.6848942807689507e-06
54	648.0	0.4133438686529795	1.7654721019589993e-06
55	646.0	0.40811417020600416	3.1906183149663318e-06
56	644.0	0.4035781745252938	1.4863439622091658e-06
57	642.0	0.399104497830073	2.0337915140405333e-06
58	640.0	0.40479593674341835	2.5459564598722605e-06
59	638.0	0.40919486482938133	2.0231442770521664e-06
60	636.0	0.42017748289638096	1.0668489252403024e-05
61	634.0	0.4302635331948598	1.1428729652567744e-06
62	632.0	0.4432486335436503	1.6534597589017924e-06
63	630.0	0.45353196509953203	1.2906349319923103e-06
64	628.0	0.4573801137782909	1.0890593906802972e-06
65	626.0	0.46676282430517263	1.8955401081769114e-06
66	624.0	0.4798433578440121	3.7053299026529203e-06
67	622.0	0.48767046523945673	1.4063397812946512e-06
68	620.0	0.4948934084839291	6.328384837286756e-07
69	618.0	0.4964605148496299	1.4328850943479738e-06
70	616.0	0.4919041416474751	1.1223654964740153e-06
71	614.0	0.4883649678065859	1.12481209733949e-06
72	612.0	0.4780788277757579	9.639328641107839e-07
73	610.0	0.47737613519032795	2.8172361667186706e-06
74	608.0	0.47889589965343476	1.12541205405788e-06
75	606.0	0.48326144174293234	1.9904793204654545e-06
76	604.0	0.49035536690994547	2.54097097522802e-06
77	602.0	0.4948169986406962	2.5196455517770593e-06
78	600.0	0.5002801686525344	3.064058343662523e-06
79	598.0	0.5082662372753538	4.270379198170718e-06
80	596.0	0.5188731386743742	4.4378997981826735e-06
81	594.0	0.5312889397144318	1.2591769058225562e-05
82	592.0	0.5491240067141396	1.6789392118082946e-05
83	590.0	0.5612599333127339	1.1664559231816283e-05
84	588.0	0.5676479339599609	5.053938039378048e-06
85	586.0	0.5689077993919109	2.73114285075293e-06
86	584.0	0.5713052034378052	3.879867867198073e-06
87	582.0	0.5758363070159123	6.741373889118927e-06
88	580.0	0.5804076407636914	2.4770974574940506e-06
89	578.0	0.5836889675030341	2.762483440311129e-06
90	576.0	0.5916080360229199	4.109876331504079e-06
91	574.0	0.5873217781384786	4.401876562151638e-06
92	572.0	0.5867799307618823	1.9533915197033953e-06
93	570.0	0.5913617919231283	5.119932995972316e-06
94	568.0	0.5966357897067892	2.6075114507420676e-06
95	566.0	0.602728130420049	3.1433030018214295e-06
96	564.0	0.6043583015600841	4.3073550208521595e-06
97	562.0	0.6022567371527354	4.0971541450771405e-06
98	560.0	0.5899796982606252	4.641318709768743e-06
99	558.0	0.589940362742969	6.436073831684218e-06
100	556.0	0.6014900022539599	1.9650148023631865e-06
101	554.0	0.6185760021209716	3.1489651072528584e-06
102	552.0	0.6274944173878637	2.789202069226396e-06
103	550.0	0.6168489038944245	4.545001306664648e-06
104	548.0	0.6002632021903992	1.1181720282043745e-05
105	546.0	0.5928241440228054	7.712587613605023e-06
106	544.0	0.6053775350252787	4.297633538009727e-06
107	542.0	0.6298143473955301	7.0549207370241906e-06
108	540.0	0.6461006875695854	5.4487001766876525e-06
109	538.0	0.6490521649519603	3.0579834201402727e-06
110	536.0	0.6390402336915334	4.338180911267228e-06
111	534.0	0.6357590350611456	6.402337298116457e-06
112	532.0	0.6522973966598511	3.804100379829834e-06
113	530.0	0.667544619790439	5.320781543213054e-06
114	528.0	0.6665583690007527	1.0401227860496772e-05
115	526.0	0.6444660403898784	3.420513575106489e-06
116	524.0	0.6311381260553995	5.692557816732662e-06
117	522.0	0.6427068180508084	4.838884829508168e-06
118	520.0	0.6707693715890248	2.1488660554030366e-06
119	518.0	0.6872726061514446	5.325170246471583e-06
120	516.0	0.6839349023227034	4.735740430859706e-06
121	514.0	0.660858561595281	3.295483016568173e-06
122	512.0	0.6608828943351219	6.765484649669916e-06
123	510.0	0.6800971010635639	7.761022340893872e-06
124	508.0	0.6997981985410054	2.4614719601206365e-06
125	506.0	0.6895454327265421	2.9218857265157614e-06
126	504.0	0.6846903110372609	2.2475761523872704e-06
127	502.0	0.6772658387819926	7.144976816641068e-06
128	500.0	0.6570358018080393	1.1053894193623471e-05
129	498.0	0.6423198621848534	9.387550545755455e-06
130	496.0	0.6449755532988186	1.1696519420400735e-05
131	494.0	0.6918116602404364	6.260474324089489e-06
132	492.0	0.7180564485747238	4.93228741729016e-06
133	490.0	0.6816798491137368	1.7190098687813286e-06
134	488.0	0.6432550343973883	5.463857273879486e-06
135	486.0	0.6453231285358297	1.9453967426552297e-05
136	484.0	0.6222619613011678	0.000241502423782086
137	482.0	0.5412625670433044	3.974426801391928e-05
138	480.0	0.42134782569161777	0.00019110109741628283
139	478.0	0.3437120031427454	0.0002215112112561424
140	476.0	0.2627630000313123	0.00018976598350773822
141	474.0	0.14192876797811738	0.00029834112428869856
142	472.0	0.05589026932058663	2.1186187069958835e-08
143	470.0	0.024658134335587764	1.236093063488459e-08
144	468.0	0.006798014141105372	5.137192074597987e-10
145	466.0	0.004094549599264203	9.876362775534978e-11
146	464.0	0.003215313581417182	7.294138806432991e-11
147	462.0	0.004306428010265032	3.577206704454071e-10
148	460.0	0.0227725722923361	8.41303051655977e-09
149	458.0	0.0521530343283867	6.050056563261155e-08
150	456.0	0.09049407367904981	9.079440295705559e-08
151	454.0	0.08236498683691025	8.836544463782423e-08
152	452.0	0.05202897675335407	4.9009039681478334e-08
153	450.0	0.021916179371805025	4.139378275104308e-09
